Byte Offset,Number,Scaling,Name,Unit,Description
"",Format,,,,
10,U2,2^-16,e,-,Eccentricity
12,I2,2^-14,deltaI,semi-cir,Inclination at reference time relative to i0 = 56
"",,,,cles,degree
14,I2,2^-15,omega0,semi-cir,Longitude of ascending node of orbital plane at
"",,,,cles,weekly epoch
16,I2,2^-33,omegaDot,semi-cir,Rate of change of right ascension
"",,,,cles/s,
18,I2,2^-15,omega,semi-cir,Argument of perigee
"",,,,cles,
20,I2,2^-15,m0,semi-cir,Satellite mean anomaly at reference time
"",,,,cles,
22,I2,2^-19,af0,s,Satellite clock correction bias 'truncated'
24,I2,2^-38,af1,s/s,Satellite clock correction linear 'truncated'
26,U1,-,healthE1B,-,Satellite E1-B signal health status
27,U1,-,healthE5b,-,Satellite E5b signal health status
28,U1[4],-,reserved2,-,Reserved
